chr	gene_start	gene_end	strand	gene_id	gene_name	gene_type	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
X	6667865	7148158	-	ENSG00000130021	PUDP	protein_coding	subject	flanking	X	7169966	7189837	19871	31	3.7933
X	7147237	7804358	+	ENSG00000101846	STS	protein_coding	subject	contains_region	X	7169966	7189837	19871	31	3.7933
X	10445310	10833654	-	ENSG00000101871	MID1	protein_coding	subject	contains_region	X	10777343	10796361	19018	40	3.88378
X	34129752	34132314	-	ENSG00000185448	FAM47A	protein_coding	subject	overlapping	X	34179373	34198882	19509	45	4.12147
X	41085445	41236579	+	ENSG00000124486	USP9X	protein_coding	escape	contains_region	X	41181272	41200216	18944	24	4.08829
X	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	escape	contains_region	X	44922916	44942324	19408	25	3.96849
X	55717749	55758774	+	ENSG00000083750	RRAGB	protein_coding	subject	overlapping	X	55692885	55711827	18942	22	4.25216
X	57286706	57489193	+	ENSG00000165591	FAAH2	protein_coding	subject	flanking	X	57485408	57504053	18645	27	5.0269
X	63634967	63809274	-	ENSG00000131089	ARHGEF9	protein_coding	subject	flanking	X	63836918	63845803	8885	20	3.52946
X	73212299	73214851	-	ENSG00000186462	NAP1L2	protein_coding	subject	overlapping	X	73236957	73256933	19976	22	5.46146
X	78656068	78659328	-	ENSG00000179300	RTL3	protein_coding	subject	overlapping	X	78671306	78691173	19867	26	4.48691
X	96684712	97604997	+	ENSG00000147202	DIAPH2	protein_coding	subject	contains_region	X	97195776	97215470	19694	23	4.95392
X	104566199	105767829	+	ENSG00000189108	IL1RAPL2	protein_coding	subject	contains_region	X	104931947	104950667	18720	34	4.74292
X	106611930	106679439	+	ENSG00000147231	RADX	protein_coding	subject	contains_region	X	106631713	106643215	11502	24	4.31214
X	107713221	107777342	-	ENSG00000157514	TSC22D3	protein_coding	subject	flanking	X	107781698	107798858	17160	37	4.4966
X	107774899	107795829	+	ENSG00000170935	NCBP2L	protein_coding	subject	overlapping	X	107781698	107798858	17160	37	4.4966
X	107825755	107931637	+	ENSG00000080561	MID2	protein_coding	subject	flanking	X	107781698	107798858	17160	37	4.4966
X	110520896	110523021	+	ENSG00000225366	TDGF1P3	protein_coding	subject	overlapping	X	110509766	110519627	9861	21	4.31783
X	133535745	133987100	-	ENSG00000147257	GPC3	protein_coding	subject	flanking	X	133484699	133504591	19892	25	5.46055
X	139726346	139945276	-	ENSG00000101974	ATP11C	protein_coding	subject	contains_region	X	139818680	139838549	19869	28	5.41692
