ihs_pos	ihs_std_score	ihs_abs_score	relate_pos	relate_score	distance	n_relate_nearby
41900739	4.56409	4.56409	41874375	6.01521	26364	2
78987836	-5.27576	5.27576	78944117	5.24151	43719	1
78988641	-4.55943	4.55943	78944117	5.24151	44524	1
78993268	-4.69302	4.69302	78944117	5.24151	49151	1
90674666	-4.35409	4.35409	90634786	5.61778	39880	1
123035923	-4.71015	4.71015	123084098	5.93204	48175	2
133493114	5.56939	5.56939	133472309	5.25893	20805	1
133495311	-4.67577	4.67577	133472309	5.25893	23002	1
133496422	-4.4904	4.4904	133472309	5.25893	24113	1
133496422	4.98073	4.98073	133472309	5.25893	24113	1
133500498	-4.45199	4.45199	133472309	5.25893	28189	1
133501471	-4.45199	4.45199	133472309	5.25893	29162	1
133504591	4.72914	4.72914	133472309	5.25893	32282	1
133504591	-4.35509	4.35509	133472309	5.25893	32282	1
136100442	4.65355	4.65355	136058049	5.54436	42393	1
146476206	-5.03282	5.03282	146458610	5.21292	17596	1
146476208	-5.03282	5.03282	146458610	5.21292	17598	1
146476396	-4.85174	4.85174	146458610	5.21292	17786	1
146476579	4.99283	4.99283	146458610	5.21292	17969	1
146476767	-5.0134	5.0134	146458610	5.21292	18157	1
146477349	-5.26629	5.26629	146458610	5.21292	18739	1
146477412	5.73443	5.73443	146458610	5.21292	18802	1
146479150	4.36132	4.36132	146458610	5.21292	20540	1
146479241	4.36132	4.36132	146458610	5.21292	20631	1
146479673	4.35137	4.35137	146458610	5.21292	21063	1
146479882	4.35137	4.35137	146458610	5.21292	21272	1
146480030	4.35767	4.35767	146458610	5.21292	21420	1
146481293	-4.36234	4.36234	146458610	5.21292	22683	1
146481294	-4.36234	4.36234	146458610	5.21292	22684	1
146481320	4.38103	4.38103	146458610	5.21292	22710	1
146482008	-4.37062	4.37062	146458610	5.21292	23398	1
146482013	-4.37062	4.37062	146458610	5.21292	23403	1
146482115	-4.37062	4.37062	146458610	5.21292	23505	1
146482121	-4.37062	4.37062	146458610	5.21292	23511	1
146482375	4.35565	4.35565	146458610	5.21292	23765	1
146483130	4.38274	4.38274	146458610	5.21292	24520	1
146483499	4.47894	4.47894	146458610	5.21292	24889	1
146483844	-4.46964	4.46964	146458610	5.21292	25234	1
146483933	4.47894	4.47894	146458610	5.21292	25323	1
146484068	4.4445	4.4445	146458610	5.21292	25458	1
146484074	4.4445	4.4445	146458610	5.21292	25464	1
146484120	4.4445	4.4445	146458610	5.21292	25510	1
146484134	-4.4319	4.4319	146458610	5.21292	25524	1
146484234	-4.47082	4.47082	146458610	5.21292	25624	1
146484357	4.47816	4.47816	146458610	5.21292	25747	1
146484527	-4.43104	4.43104	146458610	5.21292	25917	1
146484633	-4.43104	4.43104	146458610	5.21292	26023	1
146484982	-4.43083	4.43083	146458610	5.21292	26372	1
146485075	4.41917	4.41917	146458610	5.21292	26465	1
146485293	4.45364	4.45364	146458610	5.21292	26683	1
146485370	4.41996	4.41996	146458610	5.21292	26760	1
146485725	-4.42399	4.42399	146458610	5.21292	27115	1
146485821	4.4028	4.4028	146458610	5.21292	27211	1
146485869	-4.3862	4.3862	146458610	5.21292	27259	1
146486029	4.43728	4.43728	146458610	5.21292	27419	1
146486145	-4.39362	4.39362	146458610	5.21292	27535	1
146486572	4.40904	4.40904	146458610	5.21292	27962	1
146486808	-4.42748	4.42748	146458610	5.21292	28198	1
146486847	4.44047	4.44047	146458610	5.21292	28237	1
146486999	-4.42748	4.42748	146458610	5.21292	28389	1
146487380	4.44047	4.44047	146458610	5.21292	28770	1
146487956	-4.67939	4.67939	146458610	5.21292	29346	1
146488060	5.14139	5.14139	146458610	5.21292	29450	1
146488175	-4.67939	4.67939	146458610	5.21292	29565	1
146488278	-4.47062	4.47062	146458610	5.21292	29668	1
146488501	4.47928	4.47928	146458610	5.21292	29891	1
146488606	-4.67449	4.67449	146458610	5.21292	29996	1
146488724	-4.46591	4.46591	146458610	5.21292	30114	1
146488900	4.47313	4.47313	146458610	5.21292	30290	1
146488949	4.47192	4.47192	146458610	5.21292	30339	1
146489175	-4.37186	4.37186	146458610	5.21292	30565	1
146489384	4.37339	4.37339	146458610	5.21292	30774	1
