gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5117259	5151056	33797	121	6.16743
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5117259	5151056	33797	121	6.16743
STS	ENSG00000101846	protein_coding	X	7147237	7804358	+	subject	contains_region	X	7198572	7220673	22101	24	5.36077
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	33831305	33852376	21071	26	4.87532
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36627274	36641498	14224	33	5.60056
ENSG00000284618	ENSG00000284618	lncRNA	X	81000150	81004217	-	subject	contained	X	80992408	81012654	20246	33	5.711
EIF3JP1	ENSG00000228041	processed_pseudogene	X	82497669	82497924	-	subject	overlapping	X	82525122	82539889	14767	31	6.2952
RPL22P22	ENSG00000213653	processed_pseudogene	X	82506434	82506812	-	subject	overlapping	X	82525122	82539889	14767	31	6.2952
ENSG00000202183	ENSG00000202183	snoRNA	X	82561201	82561347	+	subject	overlapping	X	82525122	82539889	14767	31	6.2952
ENSG00000202183	ENSG00000202183	snoRNA	X	82561201	82561347	+	subject	overlapping	X	82589317	82623710	34393	76	5.26686
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87159665	87204161	44496	109	6.4751
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87159665	87204161	44496	109	6.4751
SERBP1P4	ENSG00000230275	processed_pseudogene	X	91560436	91561597	-	subject	overlapping	X	91562322	91574917	12595	21	4.14318
SERBP1P4	ENSG00000230275	processed_pseudogene	X	91560436	91561597	-	subject	overlapping	X	91601710	91619875	18165	32	5.49615
RPL7P55	ENSG00000228301	processed_pseudogene	X	93573834	93574579	+	subject	overlapping	X	93502725	93530890	28165	69	6.20722
ZMAT1	ENSG00000166432	protein_coding	X	101882288	101932031	-	subject	flanking	X	101972051	101994171	22120	25	4.87956
H2BP8	ENSG00000235976	processed_pseudogene	X	101989481	101989872	-	subject	contained	X	101972051	101994171	22120	25	4.87956
C3orf49P1	ENSG00000226119	processed_pseudogene	X	102006883	102007294	+	subject	overlapping	X	101972051	101994171	22120	25	4.87956
MTND6P13	ENSG00000234901	processed_pseudogene	X	102008524	102009046	-	subject	overlapping	X	101972051	101994171	22120	25	4.87956
TSC22D3	ENSG00000157514	protein_coding	X	107713221	107777342	-	subject	flanking	X	107781784	107797249	15465	25	4.98802
NCBP2L	ENSG00000170935	protein_coding	X	107774899	107795829	+	subject	overlapping	X	107781784	107797249	15465	25	4.98802
MID2	ENSG00000080561	protein_coding	X	107825755	107931637	+	subject	flanking	X	107781784	107797249	15465	25	4.98802
ENSG00000235329	ENSG00000235329	processed_pseudogene	X	113347413	113347619	+	subject	overlapping	X	113284684	113300587	15903	20	6.03211
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	overlapping	X	116758991	116813003	54012	69	8.40026
RNU6-1323P	ENSG00000206752	snRNA	X	116850839	116850945	-	subject	overlapping	X	116758991	116813003	54012	69	8.40026
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117353061	117369560	16499	21	6.96104
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117353061	117369560	16499	21	6.96104
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117425271	117445723	20452	70	5.40037
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117425271	117445723	20452	70	5.40037
RPS26P56	ENSG00000226339	processed_pseudogene	X	129408382	129408621	+	subject	overlapping	X	129377438	129392662	15224	31	5.36934
RNA5SP513	ENSG00000201518	rRNA_pseudogene	X	129436530	129436647	-	subject	overlapping	X	129377438	129392662	15224	31	5.36934
