symbol	name	chrom	start	end
CHUK	component of inhibitor of nuclear factor kappa B kinase complex	10	100229595	100186318
TOMM70	translocase of outer mitochondrial membrane 70	3	100401088	100363430
TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1	9	100473148	100577635
NR1H4	nuclear receptor subfamily 1 group H member 4	12	100473865	100564413
SHFL	shiftless antiviral inhibitor of ribosomal frameshifting	19	10086316	10093242
YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	8	100953381	100916522
MIR758	microRNA 758	14	101026019	101026106
TRIM56	tripartite motif containing 56	7	101085480	101097966
CLEC7A	C-type lectin domain containing 7A	12	10130303	10116776
ISG15	ISG15 ubiquitin like modifier	1	1013496	1014539
BTK	Bruton tyrosine kinase	X	101390795	101349449
SENP7	SUMO specific peptidase 7	3	101513211	101324204
IRAK2	interleukin 1 receptor associated kinase 2	3	10164918	10243744
NFKBIZ	NFKB inhibitor zeta	3	101827989	101861021
RDUR	RIG-I dependent antiviral response regulator RNA	3	101940858	101997925
HSP90AA1	heat shock protein 90 alpha family class A member 1	14	102139748	102080741
IL1RL2	interleukin 1 receptor like 2	2	102186972	102243085
KLRD1	killer cell lectin like receptor D1	12	10238960	10329607
NFKB1	nuclear factor kappa B subunit 1	4	102501358	102617301
TRIM8	tripartite motif containing 8	10	102644478	102658318
TRAF3	TNF receptor associated factor 3	14	102777448	102911499
MMP3	matrix metallopeptidase 3	11	102843608	102835800
NT5C2	5'-nucleotidase, cytosolic II	10	103193271	103088016
KLRK1	killer cell lectin like receptor K1	12	10390040	10372352
HCFC2	host cell factor C2	12	104064530	104106523
KLRC4	killer cell lectin like receptor C4	12	10409756	10407383
KLRC4-KLRK1	KLRC4-KLRK1 readthrough	12	10410145	10372352
KLRC3	killer cell lectin like receptor C3	12	10420594	10412314
KLRC2	killer cell lectin like receptor C2	12	10436009	10430598
KLRC1	killer cell lectin like receptor C1	12	10454684	10442263
AKT1	AKT serine/threonine kinase 1	14	104795747	104769348
PLD4	phospholipase D family member 4	14	104924878	104937784
CASP4	caspase 4	11	104968573	104942865
CASP1	caspase 1	11	105036685	105025442
WASHC4	WASH complex subunit 4	12	105107730	105169129
SRPK2	SRSF protein kinase 2	7	105399356	105114739
IGHM	immunoglobulin heavy constant mu	14	105856216	105851965
PRDM1	PR/SET domain 1	6	105992689	106109937
ATG5	autophagy related 5	6	106325759	106184475
POLR3B	RNA polymerase III subunit B	12	106357747	106510197
