chr	gene_start	gene_end	strand	gene_id	gene_name	gene_type	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
X	5840637	6228867	-	ENSG00000146938	NLGN4X	protein_coding	escape	flanking	X	5794286	5794288	2	2	2.94764
X	6667865	7148158	-	ENSG00000130021	PUDP	protein_coding	subject	overlapping	X	6709439	7208489	499050	120	4.83323
X	7147237	7804358	+	ENSG00000101846	STS	protein_coding	subject	flanking	X	6709439	7208489	499050	120	4.83323
X	9024232	9295682	-	ENSG00000177138	FAM9B	protein_coding	subject	contains_region	X	9263694	9276980	13286	16	3.84413
X	10445310	10833654	-	ENSG00000101871	MID1	protein_coding	subject	contains_region	X	10781125	10804394	23269	42	4.43179
X	16587999	16712936	-	ENSG00000047230	CTPS2	protein_coding	subject	contained	X	16510984	17003463	492479	13	3.4907
X	16650158	16654670	+	ENSG00000169906	S100G	protein_coding	subject	contained	X	16510984	17003463	492479	13	3.4907
X	16719612	16765340	+	ENSG00000169895	SYAP1	protein_coding	subject	contained	X	16510984	17003463	492479	13	3.4907
X	16786432	16844519	+	ENSG00000086712	TXLNG	protein_coding	escape	contained	X	16510984	17003463	492479	13	3.4907
X	16839283	16870362	-	ENSG00000102054	RBBP7	protein_coding	subject	contained	X	16510984	17003463	492479	13	3.4907
X	16946658	17153272	+	ENSG00000169891	REPS2	protein_coding	subject	flanking	X	16510984	17003463	492479	13	3.4907
X	19343893	19361718	+	ENSG00000131828	PDHA1	protein_coding	subject	contained	X	19286996	19652988	365992	18	3.87854
X	19360056	19515508	-	ENSG00000180815	MAP3K15	protein_coding	subject	contained	X	19286996	19652988	365992	18	3.87854
X	19533977	19887600	-	ENSG00000147010	SH3KBP1	protein_coding	subject	flanking	X	19286996	19652988	365992	18	3.87854
X	19912860	19991061	-	ENSG00000173681	BCLAF3	protein_coding	subject	contained	X	19832670	20036532	203862	15	4.09269
X	20006713	20116907	-	ENSG00000184368	MAP7D2	protein_coding	subject	flanking	X	19832670	20036532	203862	15	4.09269
X	21372801	21654695	+	ENSG00000149970	CNKSR2	protein_coding	subject	flanking	X	21229192	21512754	283562	12	4.449
X	21705978	21758116	-	ENSG00000091482	SMPX	protein_coding	subject	flanking	X	21806999	21974856	167857	16	3.61069
X	21839617	21885423	+	ENSG00000012174	MBTPS2	protein_coding	subject	contained	X	21806999	21974856	167857	16	3.61069
X	21855987	21858740	+	ENSG00000230797	YY2	protein_coding	subject	contained	X	21806999	21974856	167857	16	3.61069
X	21940709	21994837	+	ENSG00000102172	SMS	protein_coding	subject	overlapping	X	21806999	21974856	167857	16	3.61069
X	23664262	23686397	+	ENSG00000123131	PRDX4	protein_coding	subject	flanking	X	23612838	23617080	4242	4	3.30751
X	24149173	24216255	+	ENSG00000005889	ZFX	protein_coding	escape	overlapping	X	24180602	24220275	39673	18	4.03496
X	24693873	24996986	+	ENSG00000101868	POLA1	protein_coding	subject	flanking	X	24753317	25072553	319236	6	3.32836
