pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
808692	6.02999	ACB	24	808692	824225	824136.0	3	6.02999	5.345009999999999
824136	5.00252	ACB	24	808692	824225	824136.0	3	6.02999	5.345009999999999
824225	5.00252	ACB	24	808692	824225	824136.0	3	6.02999	5.345009999999999
883811	6.17106	ACB	23	883811	897491	890425.0	6	6.17106	5.609263333333334
889651	5.72219	ACB	23	883811	897491	890425.0	6	6.17106	5.609263333333334
890391	5.72219	ACB	23	883811	897491	890425.0	6	6.17106	5.609263333333334
890459	5.72219	ACB	23	883811	897491	890425.0	6	6.17106	5.609263333333334
891904	5.05267	ACB	23	883811	897491	890425.0	6	6.17106	5.609263333333334
897491	5.26528	ACB	23	883811	897491	890425.0	6	6.17106	5.609263333333334
989254	7.2632	ACB	21	989254	1007801	994033.0	5	7.40411	6.333812
993855	7.40411	ACB	21	989254	1007801	994033.0	5	7.40411	6.333812
994033	5.87194	ACB	21	989254	1007801	994033.0	5	7.40411	6.333812
1007424	5.09982	ACB	21	989254	1007801	994033.0	5	7.40411	6.333812
1007801	6.02999	ACB	21	989254	1007801	994033.0	5	7.40411	6.333812
1380942	5.10557	ACB	27	1380942	1387220	1383328.0	5	6.40623	5.453196
1381505	5.1328	ACB	27	1380942	1387220	1383328.0	5	6.40623	5.453196
1383328	5.31069	ACB	27	1380942	1387220	1383328.0	5	6.40623	5.453196
1384144	5.31069	ACB	27	1380942	1387220	1383328.0	5	6.40623	5.453196
1387220	6.40623	ACB	27	1380942	1387220	1383328.0	5	6.40623	5.453196
1442906	5.33009	ACB	28	1442906	1445633	1443778.0	4	8.90917	6.3012225
1443049	5.33009	ACB	28	1442906	1445633	1443778.0	4	8.90917	6.3012225
1444507	8.90917	ACB	28	1442906	1445633	1443778.0	4	8.90917	6.3012225
1445633	5.63554	ACB	28	1442906	1445633	1443778.0	4	8.90917	6.3012225
1520114	5.5507	ACB	32	1520114	1530761	1529777.0	7	5.72151	5.32793142857143
1521680	5.72151	ACB	32	1520114	1530761	1529777.0	7	5.72151	5.32793142857143
1529623	5.07545	ACB	32	1520114	1530761	1529777.0	7	5.72151	5.32793142857143
