pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
661436	5.88875	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
734347	6.11807	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
861504	6.15623	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
861671	6.15623	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
916789	5.40061	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
969209	5.80047	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
969261	5.80047	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
969623	7.08872	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
970067	5.80127	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
975067	7.98926	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
979981	8.15785	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
980568	8.19471	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
981487	8.19471	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
981839	8.19471	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
981882	8.19471	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
981998	7.65864	KHV	3	661436	981998	969845.0	16	8.19471	6.924713125
1274906	5.78407	KHV	4	1274906	1316392	1315856.0	3	6.15383	5.711213333333333
1315856	6.15383	KHV	4	1274906	1316392	1315856.0	3	6.15383	5.711213333333333
1316392	5.19574	KHV	4	1274906	1316392	1315856.0	3	6.15383	5.711213333333333
1520114	5.119	KHV	5	1520114	1520114	1520114.0	1	5.119	5.119
32635171	5.27838	KHV	6	32635171	32635171	32635171.0	1	5.27838	5.27838
127919960	5.21088	KHV	1	127919960	127919960	127919960.0	1	5.21088	5.21088
141304991	5.39997	KHV	2	141304991	141304991	141304991.0	1	5.39997	5.39997
