chr	overlap_start	overlap_end	overlap_kb	ihs_max	ihs_peak_pos	xpehh_max	xpehh_peak_pos	ihs_region	xpehh_region
X	122383219	123233339	850.12	5.7391	122707710	25.4986	123182031	121476406-128776917	122383219-123233339
X	123745086	125544645	1799.56	5.7391	122707710	15.4658	125159298	121476406-128776917	123745086-125544645
X	126315187	126319675	4.49	5.7391	122707710	8.7495	126318080	121476406-128776917	126315187-126319675
X	128610088	128612520	2.43	5.7391	122707710	4.1168	128610586	121476406-128776917	128610088-128612520
X	111124537	112729604	1605.07	5.5855	111803779	9.7563	112614947	109143829-112729604	111124537-112834384
X	109624243	110429668	805.42	5.5855	111803779	8.3359	109784866	109143829-112729604	109624243-110429668
X	4686839	6227681	1540.84	5.5568	4287855	17.3038	5444996	3515703-7282185	4686839-6227681
X	6748317	6760794	12.48	5.5568	4287855	13.3193	6752056	3515703-7282185	6748317-6760794
X	3694230	3704745	10.52	5.5568	4287855	5.0724	3701618	3515703-7282185	3694230-3704745
X	97671552	97855459	183.91	5.4162	97215365	12.1332	97854683	89725378-97855459	97671552-97914679
X	96541117	96581851	40.73	5.4162	97215365	10.8259	96579914	89725378-97855459	96541117-96581851
X	95734683	95974643	239.96	5.4162	97215365	9.4544	95826440	89725378-97855459	95734683-95974643
X	94981185	94985742	4.56	5.4162	97215365	7.5443	94984179	89725378-97855459	94981185-94985742
X	92834264	92881229	46.97	5.4162	97215365	5.7541	92835265	89725378-97855459	92834264-92881229
X	93953732	94433394	479.66	5.4162	97215365	5.6038	94430550	89725378-97855459	93953732-94433394
X	93407035	93412127	5.09	5.4162	97215365	4.6727	93408315	89725378-97855459	93407035-93412127
X	90041376	90754953	713.58	5.4162	97215365	4.0241	90400322	89725378-97855459	90041376-90754953
X	97159971	97161035	1.06	5.4162	97215365	3.5846	97160254	89725378-97855459	97159971-97161035
X	99979779	99999772	19.99	5.4108	102000746	9.9890	99991933	98652141-107273556	99979779-99999772
X	100510088	101322551	812.46	5.4108	102000746	8.9207	100592263	98652141-107273556	100510088-101322551
X	98960935	98963861	2.93	5.4108	102000746	4.5628	98962466	98652141-107273556	98960935-98963861
X	103736815	103738280	1.47	5.4108	102000746	3.3125	103737618	98652141-107273556	103736815-103738280
X	84877972	84879950	1.98	5.3609	82536867	3.4697	84878383	76970084-85096873	84877972-84879950
X	115329858	116427605	1097.75	5.1837	114876422	11.0042	116345137	113279606-118433943	115329858-116427605
X	117751856	118433943	682.09	5.1837	114876422	8.9780	117753625	113279606-118433943	117751856-118469788
X	114047679	114368428	320.75	5.1837	114876422	6.5095	114053523	113279606-118433943	114047679-114368428
X	72385061	72388595	3.53	5.0527	73256346	5.5770	72387599	72293569-76158805	72385061-72388595
X	131643160	131645549	2.39	4.9993	133498650	5.9839	131644737	130859697-133584930	131643160-131645549
X	133169540	133173171	3.63	4.9993	133498650	5.9077	133172731	130859697-133584930	133169540-133173171
X	131080398	131082368	1.97	4.9993	133498650	3.6111	131081437	130859697-133584930	131080398-131082368
X	88431246	88984631	553.38	4.9867	87169959	17.8159	88583183	85626573-89174035	88431246-88984631
X	85851260	85853833	2.57	4.9867	87169959	5.0578	85852289	85626573-89174035	85851260-85853833
X	86926136	87696943	770.81	4.9867	87169959	4.9874	86927597	85626573-89174035	86926136-87696943
X	43753461	44750714	997.25	4.9457	44958590	25.1173	44616783	40939752-47472433	43753461-44750714
X	40939752	41954700	1014.95	4.9457	44958590	19.2701	39162366	40939752-47472433	38867421-41954700
X	46253513	46335254	81.74	4.9457	44958590	17.5262	46323578	40939752-47472433	46253513-46335254
X	47061327	47472433	411.11	4.9457	44958590	10.8402	47082804	40939752-47472433	47061327-47752051
X	45310745	45660226	349.48	4.9457	44958590	6.1441	45311099	40939752-47472433	45310745-45660226
X	42487830	43088370	600.54	4.9457	44958590	4.6156	42879341	40939752-47472433	42487830-43088370
X	151296565	152814722	1518.16	4.9078	154425057	19.2629	151312501	151296565-154699756	149763790-152814722
X	32008286	33726472	1718.19	4.8665	35401977	21.8307	32307363	25861083-38543987	32008286-33726472
X	35824039	35871671	47.63	4.8665	35401977	12.1695	35844428	25861083-38543987	35824039-35871671
X	29200585	29888131	687.55	4.8665	35401977	9.9532	29587968	25861083-38543987	29200585-29888131
X	31191350	31404093	212.74	4.8665	35401977	9.7052	31241553	25861083-38543987	31191350-31404093
X	37591800	38228561	636.76	4.8665	35401977	9.2710	37849086	25861083-38543987	37591800-38228561
X	36581050	36586602	5.55	4.8665	35401977	6.3594	36584497	25861083-38543987	36581050-36586602
X	25861083	26072000	210.92	4.8665	35401977	4.7860	25754622	25861083-38543987	25754247-26072000
X	34883337	34885043	1.71	4.8665	35401977	4.6968	34883913	25861083-38543987	34883337-34885043
X	28667389	28669043	1.65	4.8665	35401977	4.1701	28668394	25861083-38543987	28667389-28669043
X	27086992	27087665	0.67	4.8665	35401977	3.6565	27087413	25861083-38543987	27086992-27087665
X	28004496	28014934	10.44	4.8665	35401977	3.3513	28014681	25861083-38543987	28004496-28014934
X	70323810	70453961	130.15	4.8596	70352980	9.7072	70446003	70323810-71393224	70036785-70453961
X	71246969	71393224	146.25	4.8596	70352980	7.3299	71251806	70323810-71393224	71246969-71656043
X	139227407	145930415	6703.01	4.8049	139842710	27.0595	141836367	139227407-148716244	139226893-145930415
X	146460825	147640599	1179.77	4.8049	139842710	24.5613	147611945	139227407-148716244	146460825-147640599
X	148452263	148716244	263.98	4.8049	139842710	12.1642	148709608	139227407-148716244	148452263-148727631
X	68185853	69235798	1049.94	4.8022	66984302	10.9728	69109342	63489162-69747753	68185853-69235798
X	49639878	49644874	5.00	4.6811	49612980	6.9906	49640514	48578119-50144913	49639878-49644874
X	22096587	22271168	174.58	4.5503	21230241	31.0450	22880336	17536358-22271168	22096587-23795572
X	17536358	18018397	482.04	4.5503	21230241	12.1508	17538851	17536358-22271168	17157968-18018397
X	18834802	19490140	655.34	4.5503	21230241	7.8592	19180922	17536358-22271168	18834802-19490140
X	20322795	20604670	281.88	4.5503	21230241	5.3291	20357748	17536358-22271168	20322795-20604670
X	55018711	55020980	2.27	4.5364	55801138	3.3655	55020660	54800047-55832996	55018711-55020980
X	119349160	119734979	385.82	4.3216	119999277	12.8152	119731419	119293215-120694823	119349160-119734979
X	120263823	120694823	431.00	4.3216	119999277	8.7078	120270754	119293215-120694823	120263823-121196223
