pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
558829	6.72906	MSL	1	558829	574455	562092.0	9	6.72906	5.691526666666666
558839	6.72906	MSL	1	558829	574455	562092.0	9	6.72906	5.691526666666666
561873	5.01834	MSL	1	558829	574455	562092.0	9	6.72906	5.691526666666666
562068	5.01834	MSL	1	558829	574455	562092.0	9	6.72906	5.691526666666666
562092	5.01834	MSL	1	558829	574455	562092.0	9	6.72906	5.691526666666666
574418	5.67765	MSL	1	558829	574455	562092.0	9	6.72906	5.691526666666666
574435	5.67765	MSL	1	558829	574455	562092.0	9	6.72906	5.691526666666666
574436	5.67765	MSL	1	558829	574455	562092.0	9	6.72906	5.691526666666666
574455	5.67765	MSL	1	558829	574455	562092.0	9	6.72906	5.691526666666666
959750	5.45227	MSL	3	959750	1007801	998394.0	7	7.51858	5.7160328571428565
969209	5.22558	MSL	3	959750	1007801	998394.0	7	7.51858	5.7160328571428565
980568	7.51858	MSL	3	959750	1007801	998394.0	7	7.51858	5.7160328571428565
998394	5.49579	MSL	3	959750	1007801	998394.0	7	7.51858	5.7160328571428565
998404	5.49579	MSL	3	959750	1007801	998394.0	7	7.51858	5.7160328571428565
1007424	5.72409	MSL	3	959750	1007801	998394.0	7	7.51858	5.7160328571428565
1007801	5.10013	MSL	3	959750	1007801	998394.0	7	7.51858	5.7160328571428565
2472815	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2472856	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2472874	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2472908	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2472981	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2472988	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474169	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474185	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474198	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474214	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474230	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474231	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474254	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474297	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474374	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
2474380	5.22947	MSL	14	2472815	2474380	2474191.5	16	5.22947	5.22947
17867086	5.19403	MSL	19	17867086	17893631	17887277.5	4	5.83421	5.514119999999999
17885228	5.19403	MSL	19	17867086	17893631	17887277.5	4	5.83421	5.514119999999999
17889327	5.83421	MSL	19	17867086	17893631	17887277.5	4	5.83421	5.514119999999999
17893631	5.83421	MSL	19	17867086	17893631	17887277.5	4	5.83421	5.514119999999999
18525047	5.56091	MSL	21	18525047	18576682	18548743.0	9	5.85933	5.772943333333334
18531661	5.85933	MSL	21	18525047	18576682	18548743.0	9	5.85933	5.772943333333334
18533124	5.85933	MSL	21	18525047	18576682	18548743.0	9	5.85933	5.772943333333334
18538495	5.85933	MSL	21	18525047	18576682	18548743.0	9	5.85933	5.772943333333334
18548743	5.85933	MSL	21	18525047	18576682	18548743.0	9	5.85933	5.772943333333334
18551496	5.38027	MSL	21	18525047	18576682	18548743.0	9	5.85933	5.772943333333334
18561348	5.85933	MSL	21	18525047	18576682	18548743.0	9	5.85933	5.772943333333334
18564333	5.85933	MSL	21	18525047	18576682	18548743.0	9	5.85933	5.772943333333334
18576682	5.85933	MSL	21	18525047	18576682	18548743.0	9	5.85933	5.772943333333334
82303717	5.80066	MSL	29	82303717	82310131	82309002.5	4	5.80066	5.80066
82308753	5.80066	MSL	29	82303717	82310131	82309002.5	4	5.80066	5.80066
82309252	5.80066	MSL	29	82303717	82310131	82309002.5	4	5.80066	5.80066
82310131	5.80066	MSL	29	82303717	82310131	82309002.5	4	5.80066	5.80066
130228194	5.22558	MSL	36	130228194	130246095	130235463.5	6	5.22558	5.22558
130232865	5.22558	MSL	36	130228194	130246095	130235463.5	6	5.22558	5.22558
130234989	5.22558	MSL	36	130228194	130246095	130235463.5	6	5.22558	5.22558
130235938	5.22558	MSL	36	130228194	130246095	130235463.5	6	5.22558	5.22558
130246094	5.22558	MSL	36	130228194	130246095	130235463.5	6	5.22558	5.22558
130246095	5.22558	MSL	36	130228194	130246095	130235463.5	6	5.22558	5.22558
