pos	relate_score	population	cluster_id	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
535805	5.26658	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
541739	5.58604	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
541763	5.98545	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
635661	6.90527	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
702474	5.22609	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
702544	6.05561	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
703748	5.22609	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
704463	5.22609	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
704589	6.86613	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
704670	6.07486	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
704859	6.07486	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
704940	6.07486	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
704949	6.86613	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
705084	6.07486	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
705159	6.07486	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
705191	6.07486	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
705482	6.07486	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
719764	5.32879	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
732408	7.47978	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
733215	6.9876	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
734347	6.15251	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
734423	7.01726	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
734885	5.24996	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
735714	5.24996	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
883910	5.24015	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
969209	5.13771	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
969261	6.10341	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
975067	6.15251	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
979981	6.28283	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
980568	5.47757	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
981487	5.47757	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
981998	5.21397	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
1096900	5.7876	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
1098714	6.38102	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
1098785	5.7876	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
1156476	5.55349	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
1268954	5.58604	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
1274906	5.53833	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
1315856	5.35896	CHB	4	535805	1315856	733215.0	39	7.47978	5.90456717948718
1623054	6.53142	CHB	3	1623054	1627936	1623744.0	3	8.50974	6.862213333333334
1623744	8.50974	CHB	3	1623054	1627936	1623744.0	3	8.50974	6.862213333333334
1627936	5.54548	CHB	3	1623054	1627936	1623744.0	3	8.50974	6.862213333333334
3712725	5.55349	CHB	2	3712725	3728444	3720584.5	2	5.55349	5.39682
3728444	5.24015	CHB	2	3712725	3728444	3720584.5	2	5.55349	5.39682
20348765	5.39862	CHB	1	20348765	20349644	20349204.5	2	5.39862	5.39862
20349644	5.39862	CHB	1	20348765	20349644	20349204.5	2	5.39862	5.39862
75192429	5.03175	CHB	5	75192429	75215426	75198642.0	5	5.03175	5.03175
75193235	5.03175	CHB	5	75192429	75215426	75198642.0	5	5.03175	5.03175
75198642	5.03175	CHB	5	75192429	75215426	75198642.0	5	5.03175	5.03175
75213861	5.03175	CHB	5	75192429	75215426	75198642.0	5	5.03175	5.03175
75215426	5.03175	CHB	5	75192429	75215426	75198642.0	5	5.03175	5.03175
108161245	5.21578	CHB	6	108161245	108161245	108161245.0	1	5.21578	5.21578
151669901	6.70462	CHB	7	151669901	151669901	151669901.0	1	6.70462	6.70462
