chr	start	end	length	n_snps	n_genes_total	n_genes_contained	n_genes_overlapping	n_genes_flanking	max_std_ihs	protein_coding_genes	chr_type
14	22169716	22582744	413028	43	100	90	9	1	7.06933	DAD1,ABHD4,OR6J1	Autosome
7	142265825	142765551	499726	95	95	68	25	2	7.10122	MGAM2,PRSS58,PRSS1,PRSS2	Autosome
14	100498745	100990847	492102	33	95	69	24	2	6.97763	WDR25,BEGAIN,DLK1,RTL1	Autosome
19	53741882	54209386	467504	32	81	45	35	1	7.4319	NLRP12,MYADM,PRKCG,CACNG7,CACNG8,CACNG6,VSTM1,TARM1,OSCAR,NDUFA3,TFPT,PRPF31,CNOT3,LENG1,TMC4,MBOAT7,TSEN34,RPS9,LILRB3,LILRA6,LILRB5	Autosome
6	31525556	31898641	373085	85	77	66	8	3	6.46536	MICB,MCCD1,DDX39B,ATP6V1G2-DDX39B,ATP6V1G2,NFKBIL1,LTA,TNF,LTB,LST1,NCR3,AIF1,PRRC2A,ENSG00000291302,ENSG00000289282,BAG6,APOM,C6orf47,GPANK1,CSNK2B,ENSG00000263020,LY6G5B,LY6G5C,ABHD16A,LY6G6F,LY6G6F-LY6G6D,LY6G6D,MPIG6B,LY6G6C,DDAH2,CLIC1,MSH5,MSH5-SAPCD1,SAPCD1,VWA7,VARS1,LSM2,HSPA1L,HSPA1A,HSPA1B,NEU1,SLC44A4,EHMT2,C2,ZBTB12,ENSG00000244255,CFB	Autosome
22	22075154	22572030	496876	129	73	57	15	1	6.01383	VPREB1,ZNF280B,ZNF280A,PRAME	Autosome
22	22621003	23044467	423464	16	72	65	5	2	4.9323	GGTLC2,IGLL5,RSPH14,GNAZ	Autosome
16	2102128	2601958	499830	25	68	56	11	1	5.47332	TSC2,PKD1,RAB26,TRAF7,CASKIN1,MLST8,BRICD5,PGP,E4F1,DNASE1L2,ECI1,RNPS1,ABCA3,CCNF,TEDC2,NTN3,TBC1D24,ENSG00000260272,ATP6V0C,ENSG00000259784,AMDHD2,CEMP1,PDPK1	Autosome
17	6996757	7487376	490619	20	67	59	6	2	4.15875	ALOX12,RNASEK,RNASEK-C17orf49,C17orf49,BCL6B,SLC16A13,SLC16A11,CLEC10A,ASGR2,ASGR1,DLG4,ACADVL,DVL2,PHF23,GABARAP,ENSG00000262526,CTDNEP1,ENSG00000262302,ELP5,CLDN7,SLC2A4,YBX2,EIF5A,GPS2,ENSG00000261915,NEURL4,ACAP1,KCTD11,TMEM95,TNK1,PLSCR3,TMEM256-PLSCR3,TMEM256,NLGN2,SPEM1,SPEM2,SPEM3,ENSG00000286007,TMEM102,FGF11,CHRNB1,ZBTB4,SLC35G6,POLR2A	Autosome
6	26070475	26570448	499973	96	65	52	12	1	7.33814	H3C1,H4C1,H4C2,H3C2,H2AC4,H2BC3,H3C3,H1-2,H2BC4,HFE,H4C3,H1-6,H2AC6,H1-4,H2BC5,H2BC6,H4C4,ENSG00000282988,H3C4,H2AC7,H2BC7,H4C5,H2BC8,H2AC8,H3C6,H1-3,H4C6,H4C7,H3C7,H2BC9,H3C8,H2BC10,H4C8,BTN3A2,BTN2A2,BTN3A1,BTN3A3,BTN2A1,BTN1A1,HMGN4,ABT1	Autosome
