gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5122825	5149831	27006	48	4.6262
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5122825	5149831	27006	48	4.6262
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31779685	31801274	21589	29	7.46558
USP9X	ENSG00000124486	protein_coding	X	41085445	41236579	+	escapee	contains_region	X	41205155	41224614	19459	22	5.74833
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87149071	87201837	52766	121	6.39305
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87149071	87201837	52766	121	6.39305
ENSG00000230478	ENSG00000230478	processed_pseudogene	X	87425583	87425690	-	subject	overlapping	X	87430563	87443149	12586	39	8.89289
SERBP1P4	ENSG00000230275	processed_pseudogene	X	91560436	91561597	-	subject	overlapping	X	91601710	91619875	18165	22	6.92629
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	overlapping	X	109555500	109581218	25718	33	4.91011
MFN1P1	ENSG00000233874	processed_pseudogene	X	109568478	109570289	+	subject	contained	X	109555500	109581218	25718	33	4.91011
KCNE5	ENSG00000176076	protein_coding	X	109623700	109625172	-	subject	overlapping	X	109555500	109581218	25718	33	4.91011
ACSL4	ENSG00000068366	protein_coding	X	109624244	109733403	-	subject	flanking	X	109555500	109581218	25718	33	4.91011
ENSG00000287685	ENSG00000287685	lncRNA	X	110472692	110524320	+	subject	overlapping	X	110514753	110532860	18107	20	5.57393
TDGF1P3	ENSG00000225366	protein_coding	X	110520896	110523021	+	subject	contained	X	110514753	110532860	18107	20	5.57393
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117355167	117372110	16943	24	6.84443
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117355167	117372110	16943	24	6.84443
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117423266	117438168	14902	46	6.19657
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117423266	117438168	14902	46	6.19657
RNA5SP517	ENSG00000201594	rRNA_pseudogene	X	146427456	146427572	-	subject	overlapping	X	146474541	146490690	16149	97	5.36066
ENSG00000234748	ENSG00000234748	processed_pseudogene	X	146537535	146538048	+	subject	overlapping	X	146474541	146490690	16149	97	5.36066
AFF2	ENSG00000155966	protein_coding	X	148500617	149000663	+	subject	contains_region	X	148634462	148664288	29826	31	5.0141
